
World Rank                   ,  Institution                   ,  Country                    
1  ,   Massachusetts Institute of Technology - MIT   , USA    
2  ,   Stanford University   , USA    
3  ,   Harvard University   , USA    
4  ,   University of Cambridge   , UK    
5  ,   California Institute of Technology - Caltech   , USA    
6  ,   University of Oxford   , UK    
7  ,   University College London   , UK    
8  ,   Swiss Federal Institute of Technology Zurich - ETHZ   , Switzerland    
9  ,   Imperial College London   , UK    
10  ,   University of Chicago   , USA    
11  ,   Princeton University   , USA    
12  ,   National University of Singapore   , Singapore    
13  ,   Nanyang Technological University   , Singapore    
14  ,   Swiss Federal Institute of Technology Lausanne - EPFL   , Switzerland    
15  ,   Yale University   , USA    
16  ,   Cornell University   , USA    
17  ,   Johns Hopkins University   , USA    
18  ,   University of Pennsylvania   , USA    
19  ,   University of Edinburgh   , UK    
20  ,   Columbia University   , USA    
21  ,   King's College London   , UK    
22  ,   Australian National University   , Australia    
23  ,   University of Michigan - Ann Arbor   , USA    
24  ,   Tsinghua University   , China    
24  ,   Duke University   , USA    
26  ,   Northwestern University   , USA    
27  ,   University of Hong Kong   , Hong Kong    
28  ,   University of California - Berkeley   , USA    
29  ,   University of Manchester   , UK    
30  ,   McGill University   , Canada    
31  ,   University of California - Los Angeles   , USA    
32  ,   University of Toronto   , Canada    
33  ,   Ecole Normale Sup�rieure de Paris   , France    
34  ,   The University of Tokyo   , Japan    
35  ,   Seoul National University   , South Korea    
36  ,   Hong Kong University of Science and Technology   , Hong Kong    
37  ,   Kyoto University   , Japan    
37  ,   London School of Economics   , UK    
39  ,   Peking University   , China    
40  ,   University of California - San Diego   , USA    
41  ,   University of Bristol   , UK    
42  ,   University of Melbourne   , Australia    
43  ,   Fudan University   , China    
44  ,   Chinese University of Hong Kong   , Hong Kong    
45  ,   University of British Columbia   , Canada    
46  ,   University of Sydney   , Australia    
46  ,   Korea Advanced Institute of Science and Technology   , South Korea    
46  ,   New York University   , USA    
49  ,   University of New South Wales   , Australia    
49  ,   Brown University   , USA    
51  ,   University of Queensland   , Australia    
51  ,   University of Warwick   , UK    
53  ,   Ecole Polytechnique   , France    
53  ,   University of Wisconsin-Madison   , USA    
55  ,   City University of Hong Kong   , Hong Kong    
56  ,   Tokyo Institute of Technology   , Japan    
57  ,   University of Amsterdam   , Netherlands    
58  ,   Carnegie Mellon University   , USA    
59  ,   University of Washington   , USA    
60  ,   Technical University of M�nchen   , Germany    
61  ,   Shanghai Jiaotong University   , China    
62  ,   Delft University of Technology   , Netherlands    
63  ,   Osaka University   , Japan    
63  ,   University of Glasgow   , UK    
65  ,   Monash University   , Australia    
66  ,   University of Illinois at Urbana-Champaign   , USA    
67  ,   University of Texas at Austin   , USA    
68  ,   University of M�nchen   , Germany    
68  ,   University of Copenhagen   , Denmark    
68  ,   National Taiwan University   , Taiwan    
71  ,   Georgia Institute of Technology   , USA    
72  ,   University of Heidelberg   , Germany    
73  ,   Lund University   , Sweden    
74  ,   University of Durham   , UK    
75  ,   Tohoku University   , Japan    
75  ,   University of Nottingham   , UK    
77  ,   University of St. Andrews   , UK    
78  ,   University of North Carolina at Chapel Hill   , USA    
79  ,   Catholic University of Leuven   , Belgium    
80  ,   University of Zurich   , Switzerland    
81  ,   University of Auckland   , New Zealand    
82  ,   University of Birmingham   , UK    
83  ,   Pohang University of Science and Technology   , South Korea    
84  ,   University of Sheffield   , UK    
85  ,   University of Buenos Aires   , Argentina    
85  ,   University of California - Davis   , USA    
87  ,   University of Southampton   , UK    
88  ,   Ohio State University   , USA    
89  ,   Boston University   , USA    
90  ,   Rice University   , USA    
91  ,   University of Helsinki   , Finland    
92  ,   Purdue University   , USA    
93  ,   University of Leeds   , UK    
94  ,   University of Alberta   , Canada    
95  ,   University of Geneva   , Switzerland    
95  ,   Pennsylvania State University   , USA    
